scheme,ranking_C1_C4,C1,C2,C3,C4,gain_C2_minus_C1,gain_C3_minus_C2,gain_C4_minus_C1,weights_json,Full_minus_No_matched
primary_preset,C2_SFT_Llama > C3_DPO_Llama > C4_PE_Qwen > C1_PE_Llama,0.6229,0.6342,0.6273,0.6257,0.0113,-0.0069,0.0028,"{""QQ"": 0.2, ""SD"": 0.2, ""SLR"": 0.25, ""EDT"": 0.15, ""DC"": 0.1, ""MC_Verified"": 0.1}",0.0255
equal_weight,C4_PE_Qwen > C3_DPO_Llama > C2_SFT_Llama > C1_PE_Llama,0.5522,0.565,0.5732,0.5759,0.0127,0.0082,0.0237,"{""QQ"": 0.1667, ""SD"": 0.1667, ""SLR"": 0.1667, ""EDT"": 0.1667, ""DC"": 0.1667, ""MC_Verified"": 0.1667}",-0.0328
no_MCVerified,C2_SFT_Llama > C1_PE_Llama > C3_DPO_Llama > C4_PE_Qwen,0.6882,0.6982,0.6765,0.669,0.01,-0.0217,-0.0192,"{""QQ"": 0.2222, ""SD"": 0.2222, ""SLR"": 0.2778, ""EDT"": 0.1667, ""DC"": 0.1111, ""MC_Verified"": 0.0}",0.08
reduced_SLR,C2_SFT_Llama > C3_DPO_Llama > C4_PE_Qwen > C1_PE_Llama,0.5892,0.5972,0.5926,0.591,0.008,-0.0045,0.0018,"{""QQ"": 0.22, ""SD"": 0.22, ""SLR"": 0.15, ""EDT"": 0.16, ""DC"": 0.15, ""MC_Verified"": 0.1}",0.0108
leave_out_QQ,C4_PE_Qwen > C3_DPO_Llama > C2_SFT_Llama > C1_PE_Llama,0.5978,0.6053,0.6087,0.6093,0.0075,0.0035,0.0115,"{""QQ"": 0.0, ""SD"": 0.25, ""SLR"": 0.3125, ""EDT"": 0.1875, ""DC"": 0.125, ""MC_Verified"": 0.125}",-0.1392
leave_out_SD,C2_SFT_Llama > C4_PE_Qwen > C3_DPO_Llama > C1_PE_Llama,0.6327,0.6675,0.6656,0.6662,0.0348,-0.0019,0.0335,"{""QQ"": 0.25, ""SD"": 0.0, ""SLR"": 0.3125, ""EDT"": 0.1875, ""DC"": 0.125, ""MC_Verified"": 0.125}",0.1324
leave_out_SLR,C2_SFT_Llama > C3_DPO_Llama > C4_PE_Qwen > C1_PE_Llama,0.5005,0.5123,0.5092,0.5085,0.0118,-0.0031,0.008,"{""QQ"": 0.2667, ""SD"": 0.2667, ""SLR"": 0.0, ""EDT"": 0.2, ""DC"": 0.1333, ""MC_Verified"": 0.1333}",-0.0342
leave_out_EDT,C1_PE_Llama > C2_SFT_Llama > C3_DPO_Llama > C4_PE_Qwen,0.6893,0.6751,0.6725,0.6724,-0.0141,-0.0026,-0.0168,"{""QQ"": 0.2353, ""SD"": 0.2353, ""SLR"": 0.2941, ""EDT"": 0.0, ""DC"": 0.1176, ""MC_Verified"": 0.1176}",0.0786
leave_out_DC,C2_SFT_Llama > C3_DPO_Llama > C4_PE_Qwen > C1_PE_Llama,0.6106,0.6294,0.6164,0.6146,0.0188,-0.0129,0.0041,"{""QQ"": 0.2222, ""SD"": 0.2222, ""SLR"": 0.2778, ""EDT"": 0.1667, ""DC"": 0.0, ""MC_Verified"": 0.1111}",0.0222
leave_out_MC_Verified,C2_SFT_Llama > C1_PE_Llama > C3_DPO_Llama > C4_PE_Qwen,0.6882,0.6982,0.6765,0.669,0.01,-0.0217,-0.0192,"{""QQ"": 0.2222, ""SD"": 0.2222, ""SLR"": 0.2778, ""EDT"": 0.1667, ""DC"": 0.1111, ""MC_Verified"": 0.0}",0.08
