condition,turn,n_active_dialogues,n_started,cum_terminated,mean_whole_dialogue_composite_among_active,ci95_low,ci95_high,interpretation_warning
C1_PE_Llama,1,99,99,0,0.6212,0.6115,0.6315,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,2,97,99,2,0.6209,0.6102,0.6311,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,3,97,99,2,0.6209,0.6102,0.6311,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,4,94,99,5,0.6198,0.609,0.6304,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,5,92,99,7,0.6197,0.6082,0.6308,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,6,90,99,9,0.6186,0.6077,0.63,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,7,88,99,11,0.6185,0.6068,0.6301,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,8,88,99,11,0.6185,0.6068,0.6301,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,9,87,99,12,0.6178,0.6059,0.6293,NOT prefix quality; survivors' final dialogue scores
C1_PE_Llama,10,86,99,13,0.6172,0.6054,0.6284,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,1,76,76,0,0.6373,0.6288,0.6453,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,2,61,76,15,0.6368,0.6276,0.6462,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,3,53,76,23,0.6377,0.6291,0.6466,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,4,49,76,27,0.6392,0.6312,0.6482,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,5,48,76,28,0.6392,0.6307,0.6477,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,6,1,76,75,0.6375,0.6375,0.6375,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,7,1,76,75,0.6375,0.6375,0.6375,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,8,1,76,75,0.6375,0.6375,0.6375,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,9,1,76,75,0.6375,0.6375,0.6375,NOT prefix quality; survivors' final dialogue scores
C2_SFT_Llama,10,1,76,75,0.6375,0.6375,0.6375,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,1,96,96,0,0.605,0.5893,0.6203,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,2,96,96,0,0.605,0.5893,0.6203,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,3,96,96,0,0.605,0.5893,0.6203,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,4,95,96,1,0.6061,0.5906,0.6218,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,5,95,96,1,0.6061,0.5906,0.6218,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,6,22,96,74,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,7,22,96,74,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,8,22,96,74,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,9,22,96,74,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C3_DPO_Llama,10,22,96,74,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,1,110,110,0,0.6097,0.596,0.6245,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,2,110,110,0,0.6097,0.596,0.6245,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,3,109,110,1,0.6094,0.5954,0.6237,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,4,106,110,4,0.6079,0.5946,0.6226,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,5,105,110,5,0.6081,0.5951,0.6229,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,6,17,110,93,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,7,17,110,93,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,8,17,110,93,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,9,17,110,93,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
C4_PE_Qwen,10,17,110,93,0.4987,0.4987,0.4987,NOT prefix quality; survivors' final dialogue scores
