condition,QQ,SD,SLR,EDT,DC,MC_Verified,composite
C0a_NoScaffold,0.75,0.5,1.0,0.0,0.7344000000000002,0.5,0.6234375000000001
C0b_WeakScaffold,0.75,0.5,1.0,0.0,0.7344000000000002,0.5,0.6234375000000001
C1_FullScaffold,0.75,0.5,1.0,0.0,0.7344000000000002,0.5,0.6234375000000001
C1_PE_Llama,0.7221739130434782,0.5855921739130435,0.9895652173913043,0.23478260869565218,0.7361786956521739,0.03695652173913044,0.6214750905797101
C2_SFT_Llama,0.75,0.5012448132780083,1.0,0.4024896265560166,0.6779352697095435,0.058091286307053944,0.634225449515906
C3_DPO_Llama,0.7016597510373443,0.4742738589211618,0.9817427385892116,0.37136929460580914,0.7252497925311203,0.18464730290456433,0.6273176002766251
C4_PE_Qwen,0.6914937759336099,0.4636929460580913,0.9773029045643153,0.36099585062240663,0.7254489626556017,0.23651452282157676,0.6257088520055325
NC1_no-question,0.2,0.15,0.42,0.5,0.725,0.5,0.3725
NC2_answer-leak,0.0,0.125,0.0,0.5,0.6875,0.5,0.21875
NC3_off-topic,0.4,0.3,0.92,0.0,0.725,0.5,0.4925
NC4_repetitive,0.75,0.5,1.0,0.5,0.725,0.0,0.6474999999999999
NC5_no-scaffold,0.3333,0.0,0.4,0.5,0.7083,0.5,0.36250000000000004
