"condition","profile","QQ","SD","SLR","EDT","DC","MC_Verified","composite"
"C1_PE_Llama","advanced","0.6681818181818181","0.5857363636363636","0.9181818181818181","0.38636363636363635","0.7310590909090909","0.0","0.6113873106060606"
"C1_PE_Llama","progressing","0.7216386554621849","0.5903361344537815","0.9957983193277311","0.25","0.736136974789916","0.03361344537815126","0.6258193277310924"
"C1_PE_Llama","struggling","0.7362359550561799","0.5792134831460674","0.9988764044943821","0.17696629213483145","0.7375","0.05056179775280899","0.6181601123595506"
"C2_SFT_Llama","advanced","0.75","0.5","1.0","0.5681818181818182","0.7070181818181818","0.022727272727272728","0.6582007575757576"
"C2_SFT_Llama","progressing","0.75","0.5","1.0","0.40878378378378377","0.6721790540540541","0.04054054054054054","0.63259009009009"
"C2_SFT_Llama","struggling","0.75","0.504225352112676","1.0","0.3380281690140845","0.6809225352112677","0.1056338028169014","0.6302053990610328"
"C3_DPO_Llama","advanced","0.6813953488372093","0.46279069767441855","0.9767441860465116","0.38372093023255816","0.724706976744186","0.16279069767441862","0.6193313953488372"
"C3_DPO_Llama","progressing","0.7071969696969697","0.4806818181818182","0.9825757575757574","0.4053030303030303","0.7245098484848485","0.1590909090909091","0.6323753156565656"
"C3_DPO_Llama","struggling","0.7037878787878789","0.46893939393939393","0.9833333333333334","0.29545454545454547","0.7270833333333333","0.25","0.6224053030303031"
"C4_PE_Qwen","advanced","0.6710526315789473","0.47105263157894733","0.9776315789473684","0.3815789473684211","0.726371052631579","0.21052631578947367","0.6237554824561403"
"C4_PE_Qwen","progressing","0.7023255813953488","0.45930232558139533","0.9765891472868218","0.3682170542635659","0.7244984496124032","0.2248062015503876","0.6266359819121446"
"C4_PE_Qwen","struggling","0.6831081081081081","0.46756756756756757","0.9783783783783785","0.33783783783783783","0.7266324324324325","0.2702702702702703","0.6250957207207207"
