condition,turn,composite
C0a_NoScaffold,1,0.6875
C0a_NoScaffold,2,0.61875
C0a_NoScaffold,3,0.6208333333333333
C0a_NoScaffold,4,0.6218750000000001
C0a_NoScaffold,5,0.6225
C0a_NoScaffold,6,0.6229166666666667
C0a_NoScaffold,7,0.6232142857142857
C0a_NoScaffold,8,0.6234375000000001
C0b_WeakScaffold,1,0.6875
C0b_WeakScaffold,2,0.61875
C0b_WeakScaffold,3,0.6208333333333333
C0b_WeakScaffold,4,0.6218750000000001
C0b_WeakScaffold,5,0.6225
C0b_WeakScaffold,6,0.6229166666666667
C0b_WeakScaffold,7,0.6232142857142857
C0b_WeakScaffold,8,0.6234375000000001
C1_FullScaffold,1,0.6875
C1_FullScaffold,2,0.61875
C1_FullScaffold,3,0.6208333333333333
C1_FullScaffold,4,0.6218750000000001
C1_FullScaffold,5,0.6225
C1_FullScaffold,6,0.6229166666666667
C1_FullScaffold,7,0.6232142857142857
C1_FullScaffold,8,0.6234375000000001
C1_PE_Llama,1,0.6375
C1_PE_Llama,2,0.6526785714285713
C1_PE_Llama,3,0.6536414565826331
C1_PE_Llama,4,0.6486141304347827
C1_PE_Llama,5,0.6410923423423422
C1_PE_Llama,6,0.6347352024922117
C1_PE_Llama,7,0.6342633928571428
C1_PE_Llama,8,0.6301382211538461
C1_PE_Llama,9,0.626033279656468
C1_PE_Llama,10,0.6185315533980582
C2_SFT_Llama,1,0.6447614107883817
C2_SFT_Llama,2,0.6330833333333333
C2_SFT_Llama,3,0.6399425287356321
C2_SFT_Llama,4,0.646875
C2_SFT_Llama,5,0.6430208333333333
C3_DPO_Llama,1,0.6354253112033195
C3_DPO_Llama,2,0.6316666666666666
C3_DPO_Llama,3,0.6295868347338934
C3_DPO_Llama,4,0.6277989130434783
C3_DPO_Llama,5,0.6268886462882096
C3_DPO_Llama,6,0.4979166666666667
C3_DPO_Llama,7,0.4982142857142857
C3_DPO_Llama,8,0.4984375
C3_DPO_Llama,9,0.4986111111111111
C3_DPO_Llama,10,0.49874999999999997
C4_PE_Qwen,1,0.6321058091286307
C4_PE_Qwen,2,0.6283333333333333
C4_PE_Qwen,3,0.6287831241283124
C4_PE_Qwen,4,0.6253771551724138
C4_PE_Qwen,5,0.623586956521739
C4_PE_Qwen,6,0.4979166666666667
C4_PE_Qwen,7,0.4982142857142857
C4_PE_Qwen,8,0.4984375
C4_PE_Qwen,9,0.4986111111111111
C4_PE_Qwen,10,0.49874999999999997
NC1_no-question,1,0.5625
NC1_no-question,2,0.46875000000000006
NC1_no-question,3,0.4708333333333334
NC1_no-question,4,0.415625
NC1_no-question,5,0.3725
NC2_answer-leak,1,0.1375
NC2_answer-leak,2,0.21875
NC3_off-topic,1,0.5375
NC3_off-topic,2,0.48125
NC3_off-topic,3,0.48750000000000004
NC3_off-topic,4,0.49062500000000003
NC3_off-topic,5,0.4925
NC4_repetitive,1,0.6375
NC4_repetitive,2,0.6437499999999999
NC4_repetitive,3,0.6458333333333333
NC4_repetitive,4,0.746875
NC4_repetitive,5,0.6474999999999999
NC5_no-scaffold,1,0.3125
NC5_no-scaffold,2,0.39375000000000004
NC5_no-scaffold,3,0.36250000000000004
