condition,problem_id,profile,composite,QQ,SD,SLR,EDT,DC,MC_Verified
C0a_NoScaffold,dc1b264fc4aefafb,progressing,0.5750000000000001,0.0,1.0,0.725,0.5,0.6875,0.5
C0a_NoScaffold,c46455f66de332c0,struggling,0.5609375000000001,0.0,1.0,0.8,0.25,0.7344,0.5
C0a_NoScaffold,3af5503ad498c930,progressing,0.6125,0.0,1.0,0.875,0.5,0.6875,0.5
C0a_NoScaffold,786a70bb2d54eaae,progressing,0.6000000000000001,0.0625,1.0,0.7562,0.5,0.7344,0.5
C0a_NoScaffold,6681b8e0f2abf7a9,progressing,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,c801a0da93a4310b,advanced,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,a02a9dd44a028b48,struggling,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,33128756c09a732c,progressing,0.6406250000000001,0.0,1.0,0.9688,0.5,0.7344,0.5
C0a_NoScaffold,6681b8e0f2abf7a9,progressing,0.6375000000000001,0.0,1.0,1.0,0.5,0.625,0.5
C0a_NoScaffold,f96abc956849b96f,struggling,0.5750000000000001,0.0,0.5,0.75,0.5,0.625,0.5
C0a_NoScaffold,d08bed33a30751e1,progressing,0.3875,0.0,1.0,0.0,0.5,0.625,0.5
C0a_NoScaffold,786a70bb2d54eaae,progressing,0.6000000000000001,0.0625,1.0,0.7562,0.5,0.7344,0.5
C0a_NoScaffold,b41cc7b74e66b597,struggling,0.5750000000000001,0.0,1.0,0.75,0.5,0.625,0.5
C0a_NoScaffold,5553251d23b75354,progressing,0.6406250000000001,0.0,1.0,0.9688,0.5,0.7344,0.5
C0a_NoScaffold,d28df8f7b843b4df,progressing,0.6109375,0.0,1.0,0.85,0.5,0.7344,0.5
C0a_NoScaffold,b5f82fe7beb2c711,advanced,0.6125,0.0,1.0,0.875,0.5,0.6875,0.5
C0a_NoScaffold,0f566f93cd97b42d,struggling,0.5046875000000001,0.0,1.0,0.425,0.5,0.7344,0.5
C0a_NoScaffold,50ee037194ec0443,struggling,0.5125000000000001,0.0,1.0,0.5,0.5,0.625,0.5
C0a_NoScaffold,786a70bb2d54eaae,progressing,0.6000000000000001,0.0625,1.0,0.7562,0.5,0.7344,0.5
C0a_NoScaffold,bfa26e430b44d5e6,advanced,0.6468750000000001,0.0,1.0,0.9375,0.5,0.7188,0.5
C0a_NoScaffold,5d38ace0309450b4,progressing,0.61875,0.25,1.0,0.6813,0.5,0.7344,0.5
